Name,math_m,math_f,read_m,read_f,science_m,science_f,mathgap,readgap,sciencegap
Mexico,411.51086910890876,404.0282526052046,415.01213845466594,431.8757835738139,419.9305124139867,412.40228717932155,7.4826165037041505,-16.863645119147975,7.528225234665172
"Moldova, Republic of",417.74002232636724,420.0588736044204,392.09943496141545,442.6736530926469,424.2426756045487,431.3358220079995,-2.3188512780531596,-50.57421813123142,-7.093146403450817
Montenegro,416.38101715140976,415.3750874619013,411.128792748705,442.4979508080564,408.8443765346862,414.33207846532866,1.0059296895084913,-31.369158059351378,-5.487701930642459
Netherlands,513.8913108767724,511.72096519361094,491.68953909174485,513.3669626196432,510.8709226865397,506.29534134585145,2.170345683161486,-21.677423527898384,4.575581340688245
New Zealand,497.07300640736895,491.67064996226514,491.16567590838247,526.5159797088111,516.0021628700445,511.4868338618361,5.4023564451038055,-35.350303800428605,4.515329008208369
Norway,497.00844839347803,502.2526227155277,494.57634249392964,534.8522230219195,500.18809178699405,497.38435801492074,-5.244174322049673,-40.27588052798984,2.803733772073315
Peru,390.193779659202,381.2514342055625,393.3921781144749,400.30153358648226,402.4947391590367,390.81300160521107,8.942345453639518,-6.9093554720073485,11.681737553825656
Poland,510.6686532933776,498.1548973159696,491.69195148556577,521.7596110128289,504.28894668206925,498.1443201576989,12.513755977407982,-30.067659527263174,6.144626524370324
Portugal,497.0395778713825,487.53126671308587,490.07527501054693,505.9773134102398,505.2763529148717,494.5682963713607,9.508311158296635,-15.902038399692856,10.70805654351102
Qatar,394.28860661920254,410.1891019018467,376.8948597231311,429.4046211982005,405.8236573757353,428.78257522962116,-15.900495282644158,-52.50976147506941,-22.95891785388585
Romania,443.6332877297909,442.859739708134,424.15718732342117,442.0721091416198,433.1766860120006,437.1354146037042,0.7735480216568931,-17.91492181819865,-3.9587285917036183
Russian Federation,496.95287885890855,490.8866823940581,481.537543534472,508.98187262766606,487.9450525511106,484.3698904458209,6.066196464850464,-27.444329093194085,3.575162105289735
Singapore,564.1716446128889,564.0911068118537,524.7192266873526,542.8380809674409,557.6527615717192,552.7050265888129,0.08053780103523422,-18.11885428008827,4.947734982906354
Slovakia,476.9046758322672,473.02082631457586,434.47045132232984,471.9207576915557,460.92245585141416,462.14191427446457,3.883849517691317,-37.45030636922587,-1.219458423050412
Slovenia,513.5388232691968,506.48428100276755,483.94640744448986,526.8087562710577,509.4364440258012,515.3064129453901,7.054542266429223,-42.86234882656788,-5.869968919588871
Spain,492.95628249880076,477.97436321651384,486.4424607710353,505.5648343482872,497.19669753151214,489.5271265282419,14.981919282286924,-19.122373577251892,7.669571003270221
Sweden,493.78442833949083,494.9191221330836,479.44969760138025,520.042238775035,490.9643930452932,495.3091017559557,-1.13469379359276,-40.59254117365475,-4.3447087106624735
Switzerland,526.0712209815983,512.9449766398583,480.4620694851704,503.9129774844009,509.5653675596435,501.2873545417412,13.126244341740062,-23.450907999230537,8.27801301790231
"Taiwan, Province of China",547.3441366688266,540.7127805447311,484.8535301516924,509.2818883486302,535.2552028155831,530.9111035205345,6.631356124095532,-24.428358196937836,4.344099295048522
Thailand,412.79029379998036,416.85054288699985,389.7982194812382,422.67276290549245,417.54595004919975,425.8652747508066,-4.060249087019486,-32.87454342425423,-8.319324701606831
Trinidad and Tobago,409.2180090770773,427.8517369168966,402.82324793938517,453.5203064592156,414.6252467132871,434.9582007125791,-18.6337278398193,-50.69705851983042,-20.332953999292045
Tunisia,368.61663049209074,362.14419663846047,343.01958738636927,372.80567431406575,387.3332781641785,383.22896009856333,6.472433853630264,-29.786086927696488,4.104318065615189
Turkey,425.220611573403,416.47481531291004,415.47360143480483,442.2211590860329,421.81412562481785,429.35606393086454,8.745796260492966,-26.747557651228078,-7.5419383060466885
United Arab Emirates,423.2197688496917,430.8125973321041,406.70002718116893,456.964892613579,424.40735835575003,449.36745436272446,-7.592828482412358,-50.26486543241009,-24.960096006974425
United Kingdom,498.4597983715055,484.6385054369214,486.44345256501333,507.3349279419228,511.4402092800539,509.34505238762324,13.821292934584108,-20.891475376909455,2.09515689243068
United States,474.71253992753026,465.6245481329748,487.223537065105,505.63000533953425,499.73033668726424,492.6568781307009,9.087991794555478,-18.406468274429244,7.0734585565633665
Uruguay,427.39836528178574,412.6428931115449,424.50694699424895,449.53868065238987,439.41705468913057,431.0687096540523,14.755472170240864,-25.031733658140922,8.348345035078239
Viet Nam,492.935914025285,493.84644422480903,475.1985457046895,499.7112379260832,523.4026717021497,524.2780065386493,-0.9105301995240325,-24.512692221393706,-0.875334836499519
